批量更改
模块名,软元件,当前值,显示格式,注释
全局,R000,●,1 位二进制数,
全局,R001,―,1 位二进制数,
全局,R002,―,1 位二进制数,
全局,R003,―,1 位二进制数,
全局,R004,―,1 位二进制数,
全局,R005,―,1 位二进制数,
全局,R006,―,1 位二进制数,
全局,R007,―,1 位二进制数,
全局,R008,―,1 位二进制数,
全局,R009,―,1 位二进制数,
全局,R010,―,1 位二进制数,
全局,R011,―,1 位二进制数,
全局,R012,―,1 位二进制数,
全局,R013,―,1 位二进制数,
全局,R014,―,1 位二进制数,
全局,R015,―,1 位二进制数,
全局,R100,―,1 位二进制数,
全局,R101,―,1 位二进制数,
全局,R102,―,1 位二进制数,
全局,R103,―,1 位二进制数,
全局,R104,―,1 位二进制数,
全局,R105,―,1 位二进制数,
全局,R106,―,1 位二进制数,
全局,R107,―,1 位二进制数,
全局,R108,―,1 位二进制数,
全局,R109,―,1 位二进制数,
全局,R110,―,1 位二进制数,
全局,R111,―,1 位二进制数,
全局,R112,―,1 位二进制数,
全局,R113,―,1 位二进制数,
全局,R114,―,1 位二进制数,
全局,R115,―,1 位二进制数,
全局,R200,―,1 位二进制数,
全局,R201,―,1 位二进制数,
全局,R202,―,1 位二进制数,
全局,R203,―,1 位二进制数,
全局,R204,―,1 位二进制数,
全局,R205,―,1 位二进制数,
全局,R206,―,1 位二进制数,
全局,R207,―,1 位二进制数,
全局,R208,―,1 位二进制数,
全局,R209,―,1 位二进制数,
全局,R210,―,1 位二进制数,
全局,R211,―,1 位二进制数,
全局,R212,―,1 位二进制数,
全局,R213,―,1 位二进制数,
全局,R214,―,1 位二进制数,
全局,R215,―,1 位二进制数,
全局,R300,―,1 位二进制数,
全局,R301,―,1 位二进制数,
全局,R302,―,1 位二进制数,
全局,R303,―,1 位二进制数,
全局,R304,―,1 位二进制数,
全局,R305,―,1 位二进制数,
全局,R306,―,1 位二进制数,
全局,R307,―,1 位二进制数,
全局,R308,―,1 位二进制数,
全局,R309,―,1 位二进制数,
全局,R310,―,1 位二进制数,
全局,R311,―,1 位二进制数,
全局,R312,―,1 位二进制数,
全局,R313,―,1 位二进制数,
全局,R314,―,1 位二进制数,
全局,R315,―,1 位二进制数,
全局,R400,―,1 位二进制数,
全局,R401,―,1 位二进制数,
全局,R402,―,1 位二进制数,
全局,R403,―,1 位二进制数,
全局,R404,―,1 位二进制数,
全局,R405,―,1 位二进制数,
全局,R406,―,1 位二进制数,
全局,R407,―,1 位二进制数,
全局,R408,―,1 位二进制数,
全局,R409,―,1 位二进制数,
全局,R410,―,1 位二进制数,
全局,R411,―,1 位二进制数,
全局,R412,―,1 位二进制数,
全局,R413,―,1 位二进制数,
全局,R414,―,1 位二进制数,
全局,R415,―,1 位二进制数,
全局,R500,―,1 位二进制数,
全局,R501,―,1 位二进制数,
全局,R502,―,1 位二进制数,
全局,R503,―,1 位二进制数,
全局,R504,―,1 位二进制数,
全局,R505,―,1 位二进制数,
全局,R506,―,1 位二进制数,
全局,R507,●,1 位二进制数,
全局,R508,―,1 位二进制数,
全局,R509,―,1 位二进制数,
全局,R510,―,1 位二进制数,
全局,R511,―,1 位二进制数,
全局,R512,―,1 位二进制数,
全局,R513,―,1 位二进制数,
全局,R514,―,1 位二进制数,
全局,R515,―,1 位二进制数,
全局,R600,―,1 位二进制数,
全局,R601,―,1 位二进制数,
全局,R602,―,1 位二进制数,
全局,R603,―,1 位二进制数,
全局,R604,―,1 位二进制数,
全局,R605,―,1 位二进制数,
全局,R606,―,1 位二进制数,
全局,R607,―,1 位二进制数,
全局,R608,―,1 位二进制数,
全局,R609,―,1 位二进制数,
全局,R610,―,1 位二进制数,
全局,R611,―,1 位二进制数,
全局,R612,―,1 位二进制数,
全局,R613,―,1 位二进制数,
全局,R614,―,1 位二进制数,
全局,R615,―,1 位二进制数,
全局,R700,―,1 位二进制数,
全局,R701,―,1 位二进制数,
全局,R702,―,1 位二进制数,
全局,R703,―,1 位二进制数,
全局,R704,―,1 位二进制数,
全局,R705,―,1 位二进制数,
全局,R706,―,1 位二进制数,
全局,R707,―,1 位二进制数,
全局,R708,―,1 位二进制数,
全局,R709,―,1 位二进制数,
全局,R710,―,1 位二进制数,
全局,R711,―,1 位二进制数,
全局,R712,―,1 位二进制数,
全局,R713,―,1 位二进制数,
全局,R714,―,1 位二进制数,
全局,R715,―,1 位二进制数,
全局,R800,―,1 位二进制数,
全局,R801,―,1 位二进制数,
全局,R802,―,1 位二进制数,
全局,R803,―,1 位二进制数,
全局,R804,―,1 位二进制数,
全局,R805,―,1 位二进制数,
全局,R806,―,1 位二进制数,
全局,R807,―,1 位二进制数,
全局,R808,―,1 位二进制数,
全局,R809,―,1 位二进制数,
全局,R810,―,1 位二进制数,
全局,R811,―,1 位二进制数,
全局,R812,―,1 位二进制数,
全局,R813,―,1 位二进制数,
全局,R814,―,1 位二进制数,
全局,R815,―,1 位二进制数,
全局,R900,―,1 位二进制数,
全局,R901,―,1 位二进制数,
全局,R902,―,1 位二进制数,
全局,R903,―,1 位二进制数,
全局,R904,―,1 位二进制数,
全局,R905,―,1 位二进制数,
全局,R906,―,1 位二进制数,
全局,R907,―,1 位二进制数,
全局,R908,―,1 位二进制数,
全局,R909,―,1 位二进制数,
全局,R910,―,1 位二进制数,
全局,R911,―,1 位二进制数,
全局,R912,―,1 位二进制数,
全局,R913,―,1 位二进制数,
全局,R914,―,1 位二进制数,
全局,R915,―,1 位二进制数,
全局,R1000,―,1 位二进制数,
全局,R1001,―,1 位二进制数,
全局,R1002,―,1 位二进制数,
全局,R1003,―,1 位二进制数,
全局,R1004,―,1 位二进制数,
全局,R1005,―,1 位二进制数,
全局,R1006,―,1 位二进制数,
全局,R1007,―,1 位二进制数,
全局,R1008,―,1 位二进制数,
全局,R1009,―,1 位二进制数,
全局,R1010,―,1 位二进制数,
全局,R1011,―,1 位二进制数,
全局,R1012,―,1 位二进制数,
全局,R1013,―,1 位二进制数,
全局,R1014,―,1 位二进制数,
全局,R1015,―,1 位二进制数,
全局,R1100,―,1 位二进制数,
全局,R1101,―,1 位二进制数,
全局,R1102,―,1 位二进制数,
全局,R1103,―,1 位二进制数,
全局,R1104,―,1 位二进制数,
